Hide the Pain Harold,I WANTED MY WIFE TO WAKE UP WITH A SMILE ON HER FACE. I'M NO LONGER ALLOWED TO HAVE SHARPIE MARKERS.,5760,71,10
Hide the Pain Harold,"WHAT HAS 2 LEGS IN THE MORNING, 27 LEGS IN THE AFTERNOON AND 58 LEGS AT NIGHT? SOMEONE WHO COLLECTS LEGS.",1395,20,6
Hide the Pain Harold,I'M READING A NEWS STORY ABOUT A MIDGET TAROT CARD READER WHO ESCAPE FROM PRISON. THEY'RE CALLING HIM A SMALL MEDIUM AT LARGE.,1113,11,3
Hide the Pain Harold,"ONLY FINE, UPSTANDING INDIVIDUALS ARE ON IMGFLIP",2152,23,37
Hide the Pain Harold,MY INTERNET SCAM MADE ME A MILLION DOLLARS ZIMBABWE DOLLARS,400,5,0
Hide the Pain Harold,MY FRIENDS HAVEN’T REPLIED TO MY MESSAGE YET OR THEY DON’T LOVE ME AND NEVER HAVE EITHER THEY ARE BUSY RIGHT NOW,178,3,1
Hide the Pain Harold,MY WIFE SAID SHES FAT BECUASE ITS RUNS IN HER FAMILY NO ONE RUNS IN HER FAMILY,157,4,0
Hide the Pain Harold,I BOUGHT MY WIFE ROSES WHEN I WAS YOUNGER SHE ASSUMED I DID SOMETHING WRONG THEN BEAT ME WITH THEM,4821,49,3
Hide the Pain Harold,YOUR COMPANY PRESENTATION WAS SO BORING . . . BUT I HAVE OVERCOME IT. . . . THAT I CONSIDERED SUICIDE,92,2,0
Hide the Pain Harold,I ALWAYS WANTED AN EXCUSE TO GO ON A TRIP MY WIFE SAYS I HAVE ONE TO GO TO THE FREE CLINIC,69,2,0
Hide the Pain Harold,"I HAVE 96,089 POINTS ON IMGFLIP! THAT'S 18,174,392 LESS THAN RAYDOG",10621,125,46
Hide the Pain Harold,"I TOLD MY WIFE I DO WHAT I WANT, BUT NOT IN SO MANY WORDS I SIMPLIFIED IT TO ""YES DEAR""",19317,140,29
